Word,Count
to,65159
the,64751
I,59824
and,45966
it,34108
a,32044
is,28550
app,25873
my,22426
for,21550
of,21531
music,20000
but,17785
you,17583
this,15294
have,15251
on,14706
songs,14597
that,14518
in,13944
song,11981
Spotify,11645
not,10913
play,10024
with,9779
i,8985
listen,8959
so,8758
like,8679
when,8667
just,8652
or,7915
me,7672
are,7557
all,7527
can,7450
it's,7100
be,7036
can't,6908
The,6769
love,6527
good,6422
even,6349
premium,6298
if,6160
ads,6081
no,5634
has,5623
get,5597
I'm,5591
don't,5591
It,5453
want,5406
only,5166
your,5129
playing,4966
use,4931
as,4855
was,4821
an,4553
been,4540
from,4539
will,4476
now,4471
they,4429
at,4279
app.,4272
really,4248
It's,4167
playlist,4164
every,4025
This,3995
very,3947
one,3945
after,3828
great,3804
fix,3798
because,3771
there,3755
out,3739
other,3677
what,3586
update,3571
listening,3558
would,3515
up,3493
more,3421
time,3401
I've,3379
many,3345
doesn't,3324
then,3317
any,3281
spotify,3261
some,3200
new,3162
do,3135
best,3026
am,2956
still,2937
